Bradford County|2017|958.5
Bradley County|2017|1020.5
Branch County|2017|905.0
Brantley County|2017|420.0
Braxton County|2017|395.0
Brazoria County|2017|9053.0
Brazos County|2017|3476.0
Breathitt County|2017|336.0
Breckinridge County|2017|481.0
Bremer County|2017|387.0
Brevard County|2017|11392.0
Brewster County|2017|137.0
Briscoe County|2017|24.0
Bristol Bay Borough|2017|27.0
Bristol County|2017|7436.5
Bristol city|2017|341.0
Broadwater County|2017|121.0
Bronx County|2017|38533.0
Brooke County|2017|598.0
Brookings County|2017|593.0
Brooks County|2017|261.0
Broome County|2017|4819.0
Broomfield County/city|2017|997.0
Broward County|2017|39744.0
Brown County|2017|854.5555555555555
Brule County|2017|74.0
Brunswick County|2017|1615.5
Bryan County|2017|758.0
Buchanan County|2017|822.6666666666666
Buckingham County|2017|346.0
Bucks County|2017|14473.0
Buena Vista County|2017|306.0
Buena Vista city|2017|145.0
Buffalo County|2017|320.0
Bullitt County|2017|1756.0
Bulloch County|2017|1858.0
Bullock County|2017|237.0
Buncombe County|2017|4778.0
Bureau County|2017|829.0
Burke County|2017|813.6666666666666
Burleigh County|2017|1224.0
Burleson County|2017|329.0
Burlington County|2017|9597.0
Burnet County|2017|702.0
Burnett County|2017|359.0
Burt County|2017|129.0
Butler County|2017|2035.0
Butte County|2017|2047.0
Butts County|2017|517.0
Cabarrus County|2017|4339.0
Cabell County|2017|1880.0
Cabo Rojo Municipio|2017|1925.0
Cache County|2017|1749.0
Caddo County|2017|555.0
Caddo Parish|2017|6115.0
Caguas Municipio|2017|4325.0
Calaveras County|2017|1001.0
Calcasieu Parish|2017|4290.0
Caldwell County|2017|706.75
Caldwell Parish|2017|222.0
Caledonia County|2017|544.0
Calhoun County|2017|693.9090909090909
Callahan County|2017|215.0
Callaway County|2017|746.0
Calloway County|2017|826.0
Calumet County|2017|778.0
Calvert County|2017|1802.0
Camas County|2017|18.0
Cambria County|2017|3627.0
Camden County|2017|3818.75
Cameron County|2017|5791.5
Cameron Parish|2017|144.0
Camp County|2017|284.0
Campbell County|2017|981.2
Camuy Municipio|2017|1098.0
Canadian County|2017|2489.0
Candler County|2017|219.0
Cannon County|2017|221.0
Canovanas Municipio|2017|1564.0
Canyon County|2017|3422.0
Cape Girardeau County|2017|1382.0
Cape May County|2017|4308.0
Carbon County|2017|673.5
Caribou County|2017|121.0
Carlisle County|2017|166.0
Carlton County|2017|857.0
Carolina Municipio|2017|4693.0
Caroline County|2017|710.0
Carroll County|2017|816.2307692307693
Carson City|2017|1294.0
Carson County|2017|97.0
Carter County|2017|653.2
Carteret County|2017|1441.0
Carver County|2017|1672.0
Cascade County|2017|1429.0
Casey County|2017|325.0
Cass County|2017|931.1111111111111
Cassia County|2017|289.0
Castro County|2017|110.0
Caswell County|2017|473.0
Catahoula Parish|2017|243.0
Catano Municipio|2017|712.0
Catawba County|2017|3302.0
Catoosa County|2017|1376.0
Catron County|2017|80.0
Cattaraugus County|2017|2166.0
Cavalier County|2017|55.0
Cayey Municipio|2017|1649.0
Cayuga County|2017|1843.0
Cecil County|2017|2549.0
Cedar County|2017|216.0
Ceiba Municipio|2017|515.0
Centre County|2017|2907.0
Cerro Gordo County|2017|716.0
Chaffee County|2017|217.0
Chambers County|2017|912.0
Champaign County|2017|2627.0
Chariton County|2017|132.0
Charles City County|2017|181.0
Charles County|2017|3419.0
Charles Mix County|2017|143.0
Charleston County|2017|7135.0
Charlevoix County|2017|745.0
Charlotte County|2017|1745.0
Charlottesville city|2017|791.0
Charlton County|2017|246.0
Chase County|2017|40.0
Chatham County|2017|3812.0
Chattahoochee County|2017|153.0
Chattooga County|2017|504.0
Chautauqua County|2017|1731.0
Chaves County|2017|1757.0
Cheatham County|2017|636.0
Cheboygan County|2017|1113.0
Chelan County|2017|2169.0
Chemung County|2017|2007.0
Chenango County|2017|1221.0
Cherokee County|2017|1198.375
Cherry County|2017|79.0
Chesapeake city|2017|4624.0
Cheshire County|2017|1045.0
Chester County|2017|3745.6666666666665
Chesterfield County|2017|3808.5
Cheyenne County|2017|68.0
Chickasaw County|2017|287.5
Chicot County|2017|229.0
Childress County|2017|86.0
Chilton County|2017|774.0
Chippewa County|2017|916.6666666666666
Chisago County|2017|1171.0
Chittenden County|2017|2182.0
Choctaw County|2017|270.6666666666667
Chouteau County|2017|82.0
Chowan County|2017|307.0
Christian County|2017|1208.3333333333333
Churchill County|2017|476.0
Ciales Municipio|2017|624.0
Cibola County|2017|713.0
Cidra Municipio|2017|1296.0
Cimarron County|2017|34.0
Citrus County|2017|2767.0
Clackamas County|2017|8191.0
Claiborne County|2017|449.5
Claiborne Parish|2017|316.0
Clallam County|2017|1904.0
Clare County|2017|853.0
Clarendon County|2017|742.0
Clarion County|2017|1001.0
Clark County|2017|6284.416666666667
Clarke County|2017|867.2
Clatsop County|2017|795.0
Clay County|2017|775.8333333333334
Clayton County|2017|4136.0
Clear Creek County|2017|153.0
Clearfield County|2017|2140.0
Clearwater County|2017|305.5
Cleburne County|2017|357.0
Clermont County|2017|4615.0
Cleveland County|2017|2442.3333333333335
Clinch County|2017|156.0
Clinton County|2017|935.8888888888889
Cloud County|2017|170.0
Coahoma County|2017|654.0
Coal County|2017|124.0
Coamo Municipio|2017|1717.0
Cobb County|2017|17289.0
Cochise County|2017|2771.0
Cochran County|2017|52.0
Cocke County|2017|762.0
Coconino County|2017|4186.0
Codington County|2017|510.0
Coffee County|2017|924.6666666666666
Coffey County|2017|217.0
Coke County|2017|51.0
Colbert County|2017|1203.0
Cole County|2017|1140.0
Coleman County|2017|136.0
Coles County|2017|1121.0
Colfax County|2017|237.5
Colleton County|2017|808.0
Collier County|2017|7005.0
Collin County|2017|17970.0
Collingsworth County|2017|42.0
Colonial Heights city|2017|361.0
Colorado County|2017|387.0
Colquitt County|2017|1003.0
Columbia County|2017|1254.125
Columbiana County|2017|2867.0
Columbus County|2017|1245.0
Colusa County|2017|1543.0
Comal County|2017|2246.0
Comanche County|2017|802.3333333333334
Comerio Municipio|2017|577.0
Concho County|2017|51.0
Concordia Parish|2017|564.0
Conecuh County|2017|273.0
Conejos County|2017|165.0
Contra Costa County|2017|21418.0
Converse County|2017|330.0
Conway County|2017|392.0
Cook County|2017|46505.333333333336
Cooke County|2017|671.0
Cooper County|2017|271.0
Coos County|2017|982.0
Coosa County|2017|201.0
Copiah County|2017|640.0
Corozal Municipio|2017|1021.0
Corson County|2017|59.0
Cortland County|2017|1357.0
Coryell County|2017|1057.0
Coshocton County|2017|1007.0
Costilla County|2017|65.0
Cottle County|2017|22.0
Cotton County|2017|115.0
Cottonwood County|2017|301.0
Covington County|2017|609.0
Covington city|2017|149.0
Coweta County|2017|3043.0
Cowley County|2017|645.0
Cowlitz County|2017|2786.0
Craig County|2017|187.0
Craighead County|2017|1601.0
Crane County|2017|84.0
Craven County|2017|1984.0
Crawford County|2017|683.3636363636364
Creek County|2017|1582.0
Crenshaw County|2017|287.0
Crisp County|2017|494.0
Crittenden County|2017|578.0
Crockett County|2017|178.5
Crook County|2017|363.5
Crosby County|2017|108.0
Cross County|2017|307.0
Crow Wing County|2017|1450.0
Crowley County|2017|45.0
Culberson County|2017|33.0
Culebra Municipio|2017|40.0
Cullman County|2017|1398.0
Culpeper County|2017|860.0
Cumberland County|2017|2848.75
Cuming County|2017|128.0
Currituck County|2017|593.0
Curry County|2017|808.5
Custer County|2017|194.83333333333334
Cuyahoga County|2017|35755.0
Dade County|2017|242.5
Daggett County|2017|22.0
Dakota County|2017|3830.5
Dale County|2017|881.0
